provider_name,scraping_month,prix_moyen_kwh_base
GAZ DE BORDEAUX,2026-02-01,0.17586551724137928
GAZ DE BORDEAUX,2026-01-01,0.17535000000000003
GAZ DE BORDEAUX,2025-12-01,0.18252077922077928
GAZ DE BORDEAUX,2025-11-01,0.18196666666666669
GAZ DE BORDEAUX,2025-10-01,0.18196666666666667
GAZ DE BORDEAUX,2025-09-01,0.18226296296296293
GAZ DE BORDEAUX,2025-08-01,0.18352083333333333
GAZ DE BORDEAUX,2025-07-01,0.18950000000000006
GAZ DE BORDEAUX,2025-06-01,0.1895
GAZ DE BORDEAUX,2025-05-01,0.18949999999999997
GAZ DE BORDEAUX,2025-04-01,0.18949999999999997
GAZ DE BORDEAUX,2025-03-01,0.18950000000000003
GAZ DE BORDEAUX,2025-02-01,0.18951600000000002
GAZ DE BORDEAUX,2025-01-01,0.212
GAZ DE BORDEAUX,2024-12-01,0.21200000000000002
GAZ DE BORDEAUX,2024-11-01,0.21200000000000005
GAZ DE BORDEAUX,2024-10-01,0.21200000000000002
GAZ DE BORDEAUX,2024-09-01,0.2516
GAZ DE BORDEAUX,2024-08-01,0.2516
GAZ DE BORDEAUX,2024-07-01,0.2516
GEDIA Energies & Services,2026-06-01,0.21115217391304344
GEDIA Energies & Services,2026-04-01,0.20452
GEDIA Energies & Services,2026-03-01,0.20074285714285714
GEDIA Energies & Services,2026-02-01,0.2049625
GEDIA Energies & Services,2026-01-01,0.21039444444444441
GEDIA Energies & Services,2025-12-01,0.20535384615384614
GEDIA Energies & Services,2025-11-01,0.20453333333333334
GEDIA Energies & Services,2025-10-01,0.19748148148148151
GEDIA Energies & Services,2025-09-01,0.19813333333333336
GEDIA Energies & Services,2025-08-01,0.20318095238095238
GEDIA Energies & Services,2025-07-01,0.21690000000000004
GEDIA Energies & Services,2025-06-01,0.21566249999999998
GEDIA Energies & Services,2025-05-01,0.20659199999999997
GEDIA Energies & Services,2025-04-01,0.20759615384615382
GEDIA Energies & Services,2025-03-01,0.21425384615384613
GEDIA Energies & Services,2025-02-01,0.229228
GEDIA Energies & Services,2025-01-01,0.21862666666666669
GEDIA Energies & Services,2024-12-01,0.225325
GEDIA Energies & Services,2024-11-01,0.22336818181818183
GEDIA Energies & Services,2024-10-01,0.21834705882352937
GEDIA Energies & Services,2024-09-01,0.21992000000000003
GEDIA Energies & Services,2024-08-01,0.22373333333333331
GEDIA Energies & Services,2024-07-01,0.2177
GEG Source d'Energies,2026-06-01,0.1803
GEG Source d'Energies,2026-05-01,0.1803
GEG Source d'Energies,2026-04-01,0.1803
GEG Source d'Energies,2026-03-01,0.1803
GEG Source d'Energies,2026-02-01,0.18026551724137932
GEG Source d'Energies,2026-01-01,0.1793
GEG Source d'Energies,2025-12-01,0.18771931818181814
GEG Source d'Energies,2025-11-01,0.19125000000000003
GEG Source d'Energies,2025-10-01,0.19124999999999998
GEG Source d'Energies,2025-09-01,0.18687341772151903
GEG Source d'Energies,2025-08-01,0.18682666666666672
GEG Source d'Energies,2025-07-01,0.18190709677419353
GEG Source d'Energies,2025-06-01,0.18092
GEG Source d'Energies,2025-05-01,0.20299411764705877
GEG Source d'Energies,2025-04-01,0.20679999999999993
GEG Source d'Energies,2025-03-01,0.22437942857142856
GEG Source d'Energies,2025-02-01,0.23447481481481483
GEG Source d'Energies,2025-01-01,0.21977999999999998
GEG Source d'Energies,2024-12-01,0.20984
GEG Source d'Energies,2024-11-01,0.20888878048780488
GEG Source d'Energies,2024-10-01,0.20724000000000006
GEG Source d'Energies,2024-09-01,0.21779999999999997
GEG Source d'Energies,2024-08-01,0.2178
GEG Source d'Energies,2024-07-01,0.21779999999999997
JPME,2026-01-01,0.1971
JPME,2025-12-01,0.1971
JPME,2025-11-01,0.1971
JPME,2025-10-01,0.1971
JPME,2025-09-01,0.1971
JPME,2025-08-01,0.1972875
JPME,2025-07-01,0.2016
JPME,2025-06-01,0.2016
JPME,2025-05-01,0.2016
JPME,2025-04-01,0.22119
JPME,2025-03-01,0.2669
JPME,2025-02-01,0.26633333333333331
JPME,2025-01-01,0.2516
JPME,2024-12-01,0.2516
JPME,2024-11-01,0.24626666666666666
Mint Energie,2026-06-01,0.19083333333333338
Mint Energie,2026-05-01,0.19083333333333338
Mint Energie,2026-04-01,0.1908333333333333
Mint Energie,2026-03-01,0.19038602150537634
Mint Energie,2026-02-01,0.18985747126436775
Mint Energie,2026-01-01,0.18993333333333334
Mint Energie,2025-12-01,0.18993333333333337
Mint Energie,2025-11-01,0.18993333333333337
Mint Energie,2025-10-01,0.18993333333333337
Mint Energie,2025-09-01,0.18993333333333337
Mint Energie,2025-08-01,0.19017222222222221
Mint Energie,2025-07-01,0.19830107526881724
Mint Energie,2025-06-01,0.1989333333333333
Mint Energie,2025-05-01,0.20406551724137931
Mint Energie,2025-04-01,0.2037
Mint Energie,2025-03-01,0.20397419354838714
Mint Energie,2025-02-01,0.20529638554216867
Mint Energie,2025-01-01,0.22954166666666664
Mint Energie,2024-12-01,0.23049999999999998
Mint Energie,2024-11-01,0.2305
Mint Energie,2024-10-01,0.2301018867924528
Mint Energie,2024-09-01,0.23049999999999995
Mint Energie,2024-08-01,0.2305
Mint Energie,2024-07-01,0.2305
Octopus Energy,2026-06-01,0.19244999999999998
Octopus Energy,2026-05-01,0.19143448275862068
Octopus Energy,2026-04-01,0.19095833333333334
Octopus Energy,2026-03-01,0.19035806451612905
Octopus Energy,2026-02-01,0.18847758620689653
Octopus Energy,2026-01-01,0.1881642857142857
Octopus Energy,2025-12-01,0.19028833333333331
Octopus Energy,2025-11-01,0.18936774193548389
Octopus Energy,2025-10-01,0.19039999999999999
Octopus Energy,2025-09-01,0.1904
Octopus Energy,2025-08-01,0.189904347826087
Octopus Energy,2025-07-01,0.18760000000000002
Octopus Energy,2025-06-01,0.18574769230769234
Octopus Energy,2025-05-01,0.1811076923076923
Octopus Energy,2025-04-01,0.1968
Octopus Energy,2025-02-01,0.19862307692307693
Octopus Energy,2025-01-01,0.22215
Octopus Energy ( ex Plüm énergie ),2024-12-01,0.2018
Octopus Energy ( ex Plüm énergie ),2024-11-01,0.2018
Octopus Energy ( ex Plüm énergie ),2024-10-01,0.2018
Octopus Energy ( ex Plüm énergie ),2024-09-01,0.2018
Octopus Energy ( ex Plüm énergie ),2024-08-01,0.2018
Octopus Energy ( ex Plüm énergie ),2024-07-01,0.2018
Ohm Energie,2026-06-01,0.19875925925925925
Ohm Energie,2026-05-01,0.19918620689655167
Ohm Energie,2026-04-01,0.19949041095890416
Ohm Energie,2026-03-01,0.19651103448275856
Ohm Energie,2026-02-01,0.90205652173913053
Ohm Energie,2026-01-01,0.1934642857142857
Ohm Energie,2025-12-01,0.19356666666666672
Ohm Energie,2025-11-01,0.19356666666666669
Ohm Energie,2025-10-01,0.19356666666666664
Ohm Energie,2025-09-01,0.19258888888888898
Ohm Energie,2025-08-01,0.19228611111111116
Ohm Energie,2025-07-01,0.1972
Ohm Energie,2025-06-01,0.19719999999999996
Ohm Energie,2025-05-01,0.19791724137931033
Ohm Energie,2025-04-01,0.20504905660377357
Ohm Energie,2025-03-01,0.20947741935483868
Ohm Energie,2025-02-01,0.20992970297029709
Ohm Energie,2025-01-01,0.2321328125
Ohm Energie,2024-12-01,0.2336
Ohm Energie,2024-11-01,0.23394222222222222
Ohm Energie,2024-10-01,0.229
Ohm Energie,2024-09-01,0.229
Ohm Energie,2024-08-01,0.22417499999999999
Ohm Energie,2024-07-01,0.21935
Plenitude France,2026-06-01,0.19363666666666665
Plenitude France,2026-05-01,0.18942586206896553
Plenitude France,2026-04-01,0.18358275862068965
Plenitude France,2026-03-01,0.18862903225806454
Plenitude France,2026-02-01,0.19322318840579714
Plenitude France,2026-01-01,0.20506428571428567
